order_id,context,chart_type,task,q1_pre,q2_pre,q3_pre,q4_pre,comment,q1_post,q2_post,q3_post,q4_post,q1_oor,q2_oor,name
76,health,stacked area,describe the characteristics of an alternative chart type,3,3,N,N,can be hard to replace,,,,,,,stacked_area_chart-describe_the_characteristics_of_an_alternative_chart_type-health
77,health,stacked area,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,stacked_area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health
78,health,stacked area,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,stacked_area_chart-judge_which_task_this_visualization_design_best_supports-health
79,health,scatterplot,make comparisons,4,4,Y,Y,,,,,,,,scatterplot-make_comparisons-health
80,health,scatterplot,identify range,4,4,Y,Y,,,,,,,,scatterplot-identify_range-health
81,health,scatterplot,retrieve value,4,3,Y,Y,other correct answers not in options,,,,,,,scatterplot-retrieve_value-health
82,health,scatterplot,locate value,4,4,Y,Y,,,,,,,,scatterplot-locate_value-health
83,health,scatterplot,identify labels of scales,4,4,Y,Y,,,,,,,,scatterplot-identify_labels_of_scales-health
84,health,scatterplot,describe the topic of the visualization,4,4,Y,Y,,,,,,,,scatterplot-describe_the_topic_of_the_visualization-health
85,health,scatterplot,estimate difference,4,4,Y,Y,,,,,,,,scatterplot-estimate_the_difference_between_two_values_of_the_same_type-health
86,health,scatterplot,estimate ratio,1,3,Y,Y,ratio of two different types of values,,,,,y,,scatterplot-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
87,health,scatterplot,estimate average,4,4,Y,Y,,,,,,,,scatterplot-estimate_the_average_of_multiple_values_of_the_same_type-health
88,health,scatterplot,describe trend or correlation,4,4,Y,Y,,,,,,,,scatterplot-describe_trend_or_correlation-health
89,health,scatterplot,describe the characteristics of an alternative chart type,3,3,N,M,box plot description too technical and multiple answers could be right,,,,,,,scatterplot-describe_the_characteristics_of_an_alternative_chart_type-health
90,health,scatterplot,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,scatterplot-judge_which_visualization_design_is_more_appropriate_for_a_task-health
91,health,scatterplot,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,scatterplot-judge_which_task_this_visualization_design_best_supports-health
92,health,bubble ,make comparisons,4,4,Y,Y,,,,,,y,y,bubble_chart-make_comparisons-health
93,health,bubble ,identify range,4,4,Y,M,aggregation (size of bubble),,,,,,,bubble_chart-identify_range-health
94,health,bubble ,retrieve value,3,4,Y,Y,,,,,,,,bubble_chart-retrieve_value-health
95,health,bubble ,locate value,4,4,Y,N,,4,4,Y,Y,,,bubble_chart-locate_value-health
96,health,bubble ,identify labels of scales,4,4,Y,Y,,,,,,,,bubble_chart-identify_labels_of_scales-health
97,health,bubble ,describe the topic of the visualization,4,4,Y,Y,,,,,,,,bubble_chart-describe_the_topic_of_the_visualization-health
98,health,bubble ,estimate difference,3,4,Y,M,aggregation (size of bubble),,,,,,,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-health
99,health,bubble ,estimate ratio,3,4,Y,Y,,,,,,,,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
100,health,bubble ,estimate average,4,4,Y,Y,,,,,,,,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-health
101,health,bubble ,describe trend or correlation,4,4,Y,Y,,,,,,,,bubble_chart-describe_trend_or_correlation-health
102,health,bubble ,describe the characteristics of an alternative chart type,1,4,Y,Y,bubble chart hard to replace,1,4,Y,Y,y,,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-health
103,health,bubble ,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health
104,health,bubble ,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,bubble_chart-judge_which_task_this_visualization_design_best_supports-health
105,health,pie,make comparisons,4,4,Y,Y,,,,,,,,pie_chart-make_comparisons-health
106,health,pie,identify range,3,4,Y,Y,,,,,,,,pie_chart-identify_range-health
107,health,pie,retrieve value,4,4,Y,Y,,,,,,,,pie_chart-retrieve_value-health
108,health,pie,locate value,4,4,Y,Y,,,,,,,,pie_chart-locate_value-health
109,health,pie,identify labels of scales,4,4,Y,Y,no special error,,,,,y,y,pie_chart-identify_labels_of_scales-health
110,health,pie,describe the topic of the visualization,4,4,Y,Y,,,,,,,,pie_chart-describe_the_topic_of_the_visualization-health
111,health,pie,estimate difference,4,4,Y,Y,,,,,,,,pie_chart-estimate_the_difference_between_two_values_of_the_same_type-health
112,health,pie,estimate ratio,3,3,N,N,,3,3,Y,Y,,,pie_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
113,health,pie,estimate average,3,3,N,N,,3,3,Y,Y,,,pie_chart-estimate_the_average_of_multiple_values_of_the_same_type-health
114,health,pie,describe trend or correlation,2,3,Y,Y,trend hard to ask for pie,,,,,,,pie_chart-describe_trend_or_correlation-health
115,health,pie,describe the characteristics of an alternative chart type,3,4,Y,Y,,,,,,,,pie_chart-describe_the_characteristics_of_an_alternative_chart_type-health
116,health,pie,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,pie_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health
117,health,pie,judge which task this visualization design best supports,4,3,Y,Y,,,,,,,,pie_chart-judge_which_task_this_visualization_design_best_supports-health
118,health,histogram,make comparisons,4,4,Y,Y,,,,,,,,histogram-make_comparisons-health
119,health,histogram,identify range,4,4,Y,Y,,,,,,,,histogram-identify_range-health
120,health,histogram,retrieve value,3,4,Y,Y,,3,4,Y,Y,,,histogram-retrieve_value-health
121,health,histogram,locate value,2,4,N,N,retrieve rather than locate,,,,,y,,histogram-locate_value-health
122,health,histogram,identify labels of scales,4,4,Y,Y,,,,,,,,histogram-identify_labels_of_scales-health
123,health,histogram,describe the topic of the visualization,4,4,Y,Y,,,,,,,,histogram-describe_the_topic_of_the_visualization-health
124,health,histogram,estimate difference,4,4,N,N,wrong calculation,,,,,,,histogram-estimate_the_difference_between_two_values_of_the_same_type-health
125,health,histogram,estimate ratio,4,4,Y,Y,,,,,,,,histogram-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
126,health,histogram,estimate average,4,4,Y,Y,,,,,,,,histogram-estimate_the_average_of_multiple_values_of_the_same_type-health
127,health,histogram,describe trend or correlation,4,4,Y,N,description of right skew wrong,4,4,Y,Y,,,histogram-describe_trend_or_correlation-health
128,health,histogram,describe the characteristics of an alternative chart type,4,4,Y,Y,same chart type,1,4,Y,Y,y,,histogram-describe_the_characteristics_of_an_alternative_chart_type-health
129,health,histogram,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,histogram-judge_which_visualization_design_is_more_appropriate_for_a_task-health
130,health,histogram,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,histogram-judge_which_task_this_visualization_design_best_supports-health
131,health,choropleth map,make comparisons,4,4,Y,Y,,,,,,,,choropleth_map-make_comparisons-health
132,health,choropleth map,identify range,4,4,Y,Y,,,,,,,,choropleth_map-identify_range-health
133,health,choropleth map,retrieve value,3,4,Y,Y,,3,4,Y,Y,,,choropleth_map-retrieve_value-health
134,health,choropleth map,locate value,3,4,Y,M,aggregation (color),3,4,Y,M,,,choropleth_map-locate_value-health
135,health,choropleth map,identify labels of scales,4,4,Y,Y,,,,,,,,choropleth_map-identify_labels_of_scales-health
136,health,choropleth map,describe the topic of the visualization,4,4,Y,Y,,,,,,,,choropleth_map-describe_the_topic_of_the_visualization-health
137,health,choropleth map,estimate difference,3,4,Y,M,aggregation (color),,,,,,,choropleth_map-estimate_the_difference_between_two_values_of_the_same_type-health
138,health,choropleth map,estimate ratio,4,4,Y,Y,,,,,,,,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
139,health,choropleth map,estimate average,2,4,Y,M,aggregation (color),,,,,,,choropleth_map-estimate_the_average_of_multiple_values_of_the_same_type-health
140,health,choropleth map,describe trend or correlation,4,4,Y,Y,,,,,,,,choropleth_map-describe_trend_or_correlation-health
141,health,choropleth map,describe the characteristics of an alternative chart type,4,4,Y,Y,,,,,,,,choropleth_map-describe_the_characteristics_of_an_alternative_chart_type-health
142,health,choropleth map,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-health
143,health,choropleth map,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,choropleth_map-judge_which_task_this_visualization_design_best_supports-health
144,health,tree map,make comparisons,3,4,Y,Y,,,,,,,,tree_map-make_comparisons-health
145,health,tree map,identify range,2,2,Y,Y,hard,,,,,,,tree_map-identify_range-health
146,health,tree map,retrieve value,3,3,Y,Y,,,,,,,,tree_map-retrieve_value-health
147,health,tree map,locate value,4,4,Y,Y,,,,,,,,tree_map-locate_value-health
148,health,tree map,identify labels of scales,3,4,Y,Y,,,,,,,,tree_map-identify_labels_of_scales-health
149,health,tree map,describe the topic of the visualization,4,4,Y,Y,,,,,,,,tree_map-describe_the_topic_of_the_visualization-health
150,health,tree map,estimate difference,4,4,Y,Y,,,,,,,,tree_map-estimate_the_difference_between_two_values_of_the_same_type-health
151,health,tree map,estimate ratio,4,4,Y,Y,,,,,,y,y,tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
152,health,tree map,estimate average,3,4,Y,Y,,,,,,,,tree_map-estimate_the_average_of_multiple_values_of_the_same_type-health
153,health,tree map,describe trend or correlation,1,3,Y,Y,trend for tree map ,,,,,y,,tree_map-describe_trend_or_correlation-health
154,health,tree map,describe the characteristics of an alternative chart type,3,3,Y,Y,,,,,,,,tree_map-describe_the_characteristics_of_an_alternative_chart_type-health
155,health,tree map,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,tree_map-judge_which_visualization_design_is_more_appropriate_for_a_task-health
156,health,tree map,judge which task this visualization design best supports,3,4,Y,Y,,,,,,,,tree_map-judge_which_task_this_visualization_design_best_supports-health
157,population and demography,line,make comparisons,4,4,Y,Y,,,,,,,,line_chart-make_comparisons-population_and_demography
158,population and demography,line,identify range,4,4,Y,Y,,,,,,,,line_chart-identify_range-population_and_demography
159,population and demography,line,retrieve value,4,4,Y,Y,,,,,,,,line_chart-retrieve_value-population_and_demography
160,population and demography,line,locate value,4,4,N,N,,4,4,Y,Y,,,line_chart-locate_value-population_and_demography
161,population and demography,line,identify labels of scales,4,4,Y,Y,,,,,,,,line_chart-identify_labels_of_scales-population_and_demography
162,population and demography,line,describe the topic of the visualization,4,4,Y,Y,,,,,,,,line_chart-describe_the_topic_of_the_visualization-population_and_demography
163,population and demography,line,estimate difference,4,4,Y,Y,,,,,,,,line_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography
164,population and demography,line,estimate ratio,3,4,Y,M,hard to estimate,,,,,,,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-population_and_demography
165,population and demography,line,estimate average,3,4,Y,Y,,,,,,,,line_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography
166,population and demography,line,describe trend or correlation,4,4,Y,Y,,,,,,,,line_chart-describe_trend_or_correlation-population_and_demography
167,population and demography,line,describe the characteristics of an alternative chart type,3,3,Y,Y,,,,,,,,line_chart-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography
168,population and demography,line,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,line_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-population_and_demography
169,population and demography,line,judge which task this visualization design best supports,4,4,Y,Y,,,,,,y,y,line_chart-judge_which_task_this_visualization_design_best_supports-population_and_demography
170,population and demography,bar,make comparisons,4,4,Y,Y,,,,,,,,bar_chart-make_comparisons-population_and_demography
171,population and demography,bar,identify range,4,4,Y,Y,,,,,,,,bar_chart-identify_range-population_and_demography
172,population and demography,bar,retrieve value,4,4,Y,Y,,,,,,,,bar_chart-retrieve_value-population_and_demography
173,population and demography,bar,locate value,3,4,Y,Y,need to locate and retrieve,,,,,y,,bar_chart-locate_value-population_and_demography
174,population and demography,bar,identify labels of scales,4,4,Y,Y,,,,,,,,bar_chart-identify_labels_of_scales-population_and_demography
175,population and demography,bar,describe the topic of the visualization,4,4,Y,Y,,,,,,,,bar_chart-describe_the_topic_of_the_visualization-population_and_demography
176,population and demography,bar,estimate difference,4,4,Y,Y,two identical incorrect options,4,4,Y,Y,,,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography
177,population and demography,bar,estimate ratio,4,4,Y,Y,,,,,,,,bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-population_and_demography
178,population and demography,bar,estimate average,3,4,Y,Y,,,,,,,,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography
179,population and demography,bar,describe trend or correlation,3,4,Y,Y,,,,,,,,bar_chart-describe_trend_or_correlation-population_and_demography
180,population and demography,bar,describe the characteristics of an alternative chart type,3,4,Y,Y,,,,,,,,bar_chart-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography
181,population and demography,bar,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-population_and_demography
182,population and demography,bar,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,bar_chart-judge_which_task_this_visualization_design_best_supports-population_and_demography
183,population and demography,stacked bar,make comparisons,3,4,Y,Y,,,,,,,,stacked_bar_chart-make_comparisons-population_and_demography
184,population and demography,stacked bar,identify range,3,3,Y,Y,,,,,,,,stacked_bar_chart-identify_range-population_and_demography
185,population and demography,stacked bar,retrieve value,4,4,Y,Y,,,,,,,,stacked_bar_chart-retrieve_value-population_and_demography
186,population and demography,stacked bar,locate value,4,4,Y,Y,,,,,,,,stacked_bar_chart-locate_value-population_and_demography
187,population and demography,stacked bar,identify labels of scales,4,4,Y,Y,,,,,,,,stacked_bar_chart-identify_labels_of_scales-population_and_demography
188,population and demography,stacked bar,describe the topic of the visualization,4,4,Y,Y,,,,,,,,stacked_bar_chart-describe_the_topic_of_the_visualization-population_and_demography
189,population and demography,stacked bar,estimate difference,3,4,Y,Y,,,,,,,,stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography
190,population and demography,stacked bar,estimate ratio,4,4,Y,Y,,,,,,,,stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-population_and_demography
191,population and demography,stacked bar,estimate average,4,4,N,N,,4,4,Y,Y,,,stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography
192,population and demography,stacked bar,describe trend or correlation,4,4,Y,Y,,,,,,,,stacked_bar_chart-describe_trend_or_correlation-population_and_demography
193,population and demography,stacked bar,describe the characteristics of an alternative chart type,3,3,Y,Y,,,,,,,,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography
194,population and demography,stacked bar,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-population_and_demography
195,population and demography,stacked bar,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-population_and_demography
196,population and demography,100 percent bar,make comparisons,3,1,N,N,confusing wording of question stem,3,1,N,N,,y,100_percent_stacked_bar_chart-make_comparisons-population_and_demography
197,population and demography,100 percent bar,identify range,3,3,Y,Y,,,,,,,,100_percent_stacked_bar_chart-identify_range-population_and_demography
198,population and demography,100 percent bar,retrieve value,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-retrieve_value-population_and_demography
199,population and demography,100 percent bar,locate value,4,3,Y,Y,,,,,,,,100_percent_stacked_bar_chart-locate_value-population_and_demography
200,population and demography,100 percent bar,identify labels of scales,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-identify_labels_of_scales-population_and_demography
201,population and demography,100 percent bar,describe the topic of the visualization,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-population_and_demography
202,population and demography,100 percent bar,estimate difference,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography
203,population and demography,100 percent bar,estimate ratio,3,3,Y,Y,,,,,,,,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-population_and_demography
204,population and demography,100 percent bar,estimate average,3,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography
205,population and demography,100 percent bar,describe trend or correlation,3,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-describe_trend_or_correlation-population_and_demography
206,population and demography,100 percent bar,describe the characteristics of an alternative chart type,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography
207,population and demography,100 percent bar,judge which design is more appropriate for a task,4,4,Y,M,two correct answers in options,,,,,,,100_percent_stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-population_and_demography
208,population and demography,100 percent bar,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-population_and_demography
209,population and demography,area,make comparisons,4,4,Y,Y,,,,,,,,area_chart-make_comparisons-population_and_demography
210,population and demography,area,identify range,4,4,Y,Y,,,,,,,,area_chart-identify_range-population_and_demography
211,population and demography,area,retrieve value,4,4,Y,Y,,,,,,,,area_chart-retrieve_value-population_and_demography
212,population and demography,area,locate value,4,4,Y,Y,,,,,,,,area_chart-locate_value-population_and_demography
213,population and demography,area,identify labels of scales,4,4,Y,Y,,,,,,,,area_chart-identify_labels_of_scales-population_and_demography
214,population and demography,area,describe the topic of the visualization,4,4,Y,Y,,,,,,,,area_chart-describe_the_topic_of_the_visualization-population_and_demography
215,population and demography,area,estimate difference,4,4,Y,Y,,,,,,,,area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography
216,population and demography,area,estimate ratio,4,4,Y,N,,4,4,Y,Y,,,area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-population_and_demography
217,population and demography,area,estimate average,3,4,Y,Y,hard,,,,,,,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography
