"trialName","q1_floor","q1_ceiling","q2_floor","q2_ceiling"
"bubble_chart-describe_the_characteristics_of_an_alternative_chart_type",3,4,3,3
"bubble_chart-describe_the_topic_of_the_visualization",3,4,3,4
"bubble_chart-describe_trend_or_correlation",4,4,4,4
"bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type",3,4,3,4
"bubble_chart-estimate_the_difference_between_two_values_of_the_same_type",2,3,3,4
"bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",2,3,3,4
"bubble_chart-identify_labels_of_scales",3,4,4,4
"bubble_chart-identify_range",2,3,3,4
"bubble_chart-judge_which_task_this_visualization_design_best_supports",3,4,3,4
"bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"bubble_chart-locate_value",3,4,4,4
"bubble_chart-make_comparisons",2,3,1,2
"bubble_chart-retrieve_value",2,3,3,4
"choropleth_map-describe_the_characteristics_of_an_alternative_chart_type",3,4,3,3
"choropleth_map-describe_the_topic_of_the_visualization",4,4,4,4
"choropleth_map-describe_trend_or_correlation",3,4,3,4
"choropleth_map-estimate_the_average_of_multiple_values_of_the_same_type",1,2,3,4
"choropleth_map-estimate_the_difference_between_two_values_of_the_same_type",2,3,3,4
"choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",2,3,3,4
"choropleth_map-identify_labels_of_scales",3,4,3,4
"choropleth_map-identify_range",3,4,4,4
"choropleth_map-judge_which_task_this_visualization_design_best_supports",3,4,4,4
"choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"choropleth_map-locate_value",2,3,3,4
"choropleth_map-make_comparisons",3,4,4,4
"choropleth_map-retrieve_value",2,3,3,4
"histogram-describe_the_characteristics_of_an_alternative_chart_type",3,4,3,4
"histogram-describe_the_topic_of_the_visualization",3,4,4,4
"histogram-describe_trend_or_correlation",3,4,3,4
"histogram-estimate_the_average_of_multiple_values_of_the_same_type",3,4,4,4
"histogram-estimate_the_difference_between_two_values_of_the_same_type",3,4,3,4
"histogram-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",3,4,3,4
"histogram-identify_labels_of_scales",3,4,3,4
"histogram-identify_range",4,4,3,4
"histogram-judge_which_task_this_visualization_design_best_supports",4,4,4,4
"histogram-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"histogram-locate_value",4,4,4,4
"histogram-make_comparisons",3,4,4,4
"histogram-retrieve_value",2,3,3,4
"line_chart-describe_the_characteristics_of_an_alternative_chart_type",2,3,2,3
"line_chart-describe_the_topic_of_the_visualization",3,4,4,4
"line_chart-describe_trend_or_correlation",4,4,4,4
"line_chart-estimate_the_average_of_multiple_values_of_the_same_type",3,3,3,4
"line_chart-estimate_the_difference_between_two_values_of_the_same_type",4,4,4,4
"line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",2,3,3,4
"line_chart-identify_labels_of_scales",4,4,4,4
"line_chart-identify_range",3,4,3,4
"line_chart-judge_which_task_this_visualization_design_best_supports",3,3,3,3
"line_chart-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"line_chart-locate_value",3,4,3,4
"line_chart-make_comparisons",3,4,4,4
"line_chart-retrieve_value",4,4,4,4
"pie_chart-describe_the_characteristics_of_an_alternative_chart_type",3,4,3,4
"pie_chart-describe_the_topic_of_the_visualization",3,4,3,4
"pie_chart-describe_trend_or_correlation",2,3,3,4
"pie_chart-estimate_the_average_of_multiple_values_of_the_same_type",3,3,3,3
"pie_chart-estimate_the_difference_between_two_values_of_the_same_type",3,4,3,4
"pie_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",3,3,3,4
"pie_chart-identify_labels_of_scales",2,3,2,3
"pie_chart-identify_range",3,3,3,4
"pie_chart-judge_which_task_this_visualization_design_best_supports",3,4,3,4
"pie_chart-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"pie_chart-locate_value",3,4,4,4
"pie_chart-make_comparisons",3,4,4,4
"pie_chart-retrieve_value",3,4,4,4
"scatterplot-describe_the_characteristics_of_an_alternative_chart_type",2,3,3,4
"scatterplot-describe_the_topic_of_the_visualization",3,4,4,4
"scatterplot-describe_trend_or_correlation",4,4,4,4
"scatterplot-estimate_the_average_of_multiple_values_of_the_same_type",3,4,4,4
"scatterplot-estimate_the_difference_between_two_values_of_the_same_type",3,4,4,4
"scatterplot-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",2,3,3,4
"scatterplot-identify_labels_of_scales",4,4,4,4
"scatterplot-identify_range",3,4,3,4
"scatterplot-judge_which_task_this_visualization_design_best_supports",4,4,4,4
"scatterplot-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,4,4
"scatterplot-locate_value",3,4,4,4
"scatterplot-make_comparisons",3,4,4,4
"scatterplot-retrieve_value",3,4,3,4
"stacked_area_chart-describe_the_characteristics_of_an_alternative_chart_type",3,4,3,3
"stacked_area_chart-describe_the_topic_of_the_visualization",3,4,3,4
"stacked_area_chart-describe_trend_or_correlation",4,4,4,4
"stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type",3,4,3,4
"stacked_area_chart-estimate_the_difference_between_two_values_of_the_same_type",3,4,3,4
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",2,3,2,3
"stacked_area_chart-identify_labels_of_scales",3,4,3,4
"stacked_area_chart-identify_range",2,3,3,3
"stacked_area_chart-judge_which_task_this_visualization_design_best_supports",4,4,4,4
"stacked_area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"stacked_area_chart-locate_value",2,3,3,4
"stacked_area_chart-make_comparisons",2,3,3,4
"stacked_area_chart-retrieve_value",3,4,4,4
"stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type",2,3,2,3
"stacked_bar_chart-describe_the_topic_of_the_visualization",4,4,3,4
"stacked_bar_chart-describe_trend_or_correlation",3,4,3,4
"stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type",3,4,3,4
"stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type",2,3,3,4
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",3,4,4,4
"stacked_bar_chart-identify_labels_of_scales",4,4,3,4
"stacked_bar_chart-identify_range",3,3,2,3
"stacked_bar_chart-judge_which_task_this_visualization_design_best_supports",3,4,4,4
"stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"stacked_bar_chart-locate_value",3,4,4,4
"stacked_bar_chart-make_comparisons",3,3,3,4
"stacked_bar_chart-retrieve_value",3,4,4,4
"tree_map-describe_the_characteristics_of_an_alternative_chart_type",2,3,3,4
"tree_map-describe_the_topic_of_the_visualization",3,4,4,4
"tree_map-describe_trend_or_correlation",2,3,2,3
"tree_map-estimate_the_average_of_multiple_values_of_the_same_type",2,3,3,4
"tree_map-estimate_the_difference_between_two_values_of_the_same_type",3,4,3,4
"tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",2,3,2,3
"tree_map-identify_labels_of_scales",2,3,3,4
"tree_map-identify_range",1,2,1,2
"tree_map-judge_which_task_this_visualization_design_best_supports",2,3,3,4
"tree_map-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"tree_map-locate_value",3,4,4,4
"tree_map-make_comparisons",3,3,3,4
"tree_map-retrieve_value",2,3,3,4
