Pid,trialName,Qid,Answer
author1,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health,q4,Yes
author1,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health,q1,3
author1,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health,q3,Yes
author1,100_percent_stacked_bar_chart-identify_range-health,q5,
author1,100_percent_stacked_bar_chart-identify_range-health,q1,3
author1,100_percent_stacked_bar_chart-identify_range-health,q3,Yes
author1,100_percent_stacked_bar_chart-identify_range-health,q2,4
author1,100_percent_stacked_bar_chart-identify_range-health,q4,Yes
author1,line_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health,q4,Yes
author1,line_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health,q5,
author1,line_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health,q2,4
author1,line_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health,q1,4
author1,line_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health,q3,Yes
author1,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q3,Yes
author1,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q1,4
author1,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q2,4
author1,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q4,Yes
author1,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q5,
author1,choropleth_map-make_comparisons-population_and_demography,q3,Yes
author1,choropleth_map-make_comparisons-population_and_demography,q2,4
author1,choropleth_map-make_comparisons-population_and_demography,q5,aggregation problem. this type of problem needs to be carefully designed
author1,choropleth_map-make_comparisons-population_and_demography,q1,4
author1,choropleth_map-make_comparisons-population_and_demography,q4,No
author1,tree_map-identify_labels_of_scales-population_and_demography,q2,4
author1,tree_map-identify_labels_of_scales-population_and_demography,q1,2
author1,tree_map-identify_labels_of_scales-population_and_demography,q5,tree map is problematic because of the three categories are not a partition
author1,tree_map-identify_labels_of_scales-population_and_demography,q3,Yes
author1,tree_map-identify_labels_of_scales-population_and_demography,q4,Yes
author1,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q3,Yes
author1,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q5,"seems like it should be around 70,000"
author1,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q1,4
author1,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q4,No
author1,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q2,4
author1,histogram-make_comparisons-population_and_demography,q3,Yes
author1,histogram-make_comparisons-population_and_demography,q2,4
author1,histogram-make_comparisons-population_and_demography,q5,
author1,histogram-make_comparisons-population_and_demography,q4,Yes
author1,histogram-make_comparisons-population_and_demography,q1,4
author1,tree_map-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography,q2,3
author1,tree_map-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography,q1,2
author1,tree_map-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography,q3,Yes
author1,tree_map-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography,q4,Yes
author1,tree_map-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography,q5,map is problematic. B is ok and the best of the 4 but could be better
author1,choropleth_map-identify_labels_of_scales-population_and_demography,q1,4
author1,choropleth_map-identify_labels_of_scales-population_and_demography,q5,
author1,choropleth_map-identify_labels_of_scales-population_and_demography,q2,4
author1,choropleth_map-identify_labels_of_scales-population_and_demography,q3,Yes
author1,choropleth_map-identify_labels_of_scales-population_and_demography,q4,Yes
author1,histogram-identify_labels_of_scales-population_and_demography,q3,Yes
author1,histogram-identify_labels_of_scales-population_and_demography,q5,
author1,histogram-identify_labels_of_scales-population_and_demography,q4,Yes
author1,histogram-identify_labels_of_scales-population_and_demography,q2,4
author1,histogram-identify_labels_of_scales-population_and_demography,q1,4
author1,line_chart-describe_trend_or_correlation-population_and_demography,q3,Yes
author1,line_chart-describe_trend_or_correlation-population_and_demography,q2,4
author1,line_chart-describe_trend_or_correlation-population_and_demography,q5,
author1,line_chart-describe_trend_or_correlation-population_and_demography,q1,4
author1,line_chart-describe_trend_or_correlation-population_and_demography,q4,Yes
author1,bubble_chart-locate_value-population_and_demography,q5,
author1,bubble_chart-locate_value-population_and_demography,q3,Yes
author1,bubble_chart-locate_value-population_and_demography,q1,4
author1,bubble_chart-locate_value-population_and_demography,q4,Yes
author1,bubble_chart-locate_value-population_and_demography,q2,4
author1,area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q5,
author1,area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q4,Yes
author1,area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q1,4
author1,area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q3,Yes
author1,area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q2,4
author1,choropleth_map-retrieve_value-population_and_demography,q5,aggregation again
author1,choropleth_map-retrieve_value-population_and_demography,q4,More than one option could be considered correct
author1,choropleth_map-retrieve_value-population_and_demography,q1,3
author1,choropleth_map-retrieve_value-population_and_demography,q3,Yes
author1,choropleth_map-retrieve_value-population_and_demography,q2,4
author1,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q1,4
author1,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q2,4
author1,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q3,Yes
author1,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q4,Yes
author1,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q5,
author1,stacked_area_chart-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography,q3,Yes
author1,stacked_area_chart-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography,q5,
author1,stacked_area_chart-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography,q4,Yes
author1,stacked_area_chart-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography,q2,4
author1,stacked_area_chart-describe_the_characteristics_of_an_alternative_chart_type-population_and_demography,q1,4
author1,100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q1,3
author1,100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q2,4
author1,100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q3,Yes
author1,100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q5,
author1,100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,q4,Yes
author1,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q4,Yes
author1,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q5,
author1,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q3,Yes
author1,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q1,4
author1,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q2,4
author1,tree_map-judge_which_task_this_visualization_design_best_supports-population_and_demography,q5,map is problematic
author1,tree_map-judge_which_task_this_visualization_design_best_supports-population_and_demography,q3,Yes
author1,tree_map-judge_which_task_this_visualization_design_best_supports-population_and_demography,q4,Yes
author1,tree_map-judge_which_task_this_visualization_design_best_supports-population_and_demography,q2,4
author1,tree_map-judge_which_task_this_visualization_design_best_supports-population_and_demography,q1,3
author1,stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q1,4
author1,stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q3,Yes
author1,stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q4,Yes
author1,stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q5,
author1,stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,q2,4
author1,tree_map-make_comparisons-energy_and_environment,q1,4
author1,tree_map-make_comparisons-energy_and_environment,q3,Yes
author1,tree_map-make_comparisons-energy_and_environment,q4,Yes
author1,tree_map-make_comparisons-energy_and_environment,q5,
author1,tree_map-make_comparisons-energy_and_environment,q2,4
author1,line_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment,q1,4
author1,line_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment,q2,4
author1,line_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment,q3,Yes
author1,line_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment,q5,
author1,line_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment,q4,Yes
author1,pie_chart-make_comparisons-energy_and_environment,q1,4
author1,pie_chart-make_comparisons-energy_and_environment,q4,Yes
author1,pie_chart-make_comparisons-energy_and_environment,q3,Yes
author1,pie_chart-make_comparisons-energy_and_environment,q5,
author1,pie_chart-make_comparisons-energy_and_environment,q2,4
author1,bar_chart-identify_range-energy_and_environment,q5,
author1,bar_chart-identify_range-energy_and_environment,q2,4
author1,bar_chart-identify_range-energy_and_environment,q1,4
author1,bar_chart-identify_range-energy_and_environment,q3,Yes
author1,bar_chart-identify_range-energy_and_environment,q4,Yes
author1,tree_map-identify_range-energy_and_environment,q1,3
author1,tree_map-identify_range-energy_and_environment,q4,Yes
author1,tree_map-identify_range-energy_and_environment,q2,4
author1,tree_map-identify_range-energy_and_environment,q5,a bit hard to estimate
author1,tree_map-identify_range-energy_and_environment,q3,Yes
author1,bar_chart-retrieve_value-energy_and_environment,q3,Yes
author1,bar_chart-retrieve_value-energy_and_environment,q1,4
author1,bar_chart-retrieve_value-energy_and_environment,q2,4
author1,bar_chart-retrieve_value-energy_and_environment,q4,Yes
author1,bar_chart-retrieve_value-energy_and_environment,q5,
author1,pie_chart-identify_labels_of_scales-energy_and_environment,q1,2
author1,pie_chart-identify_labels_of_scales-energy_and_environment,q4,No
author1,pie_chart-identify_labels_of_scales-energy_and_environment,q2,1
author1,pie_chart-identify_labels_of_scales-energy_and_environment,q3,No
author1,pie_chart-identify_labels_of_scales-energy_and_environment,q5,legend not displayed
author1,pie_chart-retrieve_value-energy_and_environment,q3,Yes
author1,pie_chart-retrieve_value-energy_and_environment,q1,4
author1,pie_chart-retrieve_value-energy_and_environment,q5,
author1,pie_chart-retrieve_value-energy_and_environment,q4,Yes
author1,pie_chart-retrieve_value-energy_and_environment,q2,4
author1,bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-energy_and_environment,q4,Yes
author1,bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-energy_and_environment,q3,Yes
author1,bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-energy_and_environment,q1,4
author1,bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-energy_and_environment,q2,4
author1,bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-energy_and_environment,q5,
author1,stacked_bar_chart-identify_labels_of_scales-energy_and_environment,q5,
author1,stacked_bar_chart-identify_labels_of_scales-energy_and_environment,q2,4
author1,stacked_bar_chart-identify_labels_of_scales-energy_and_environment,q3,Yes
author1,stacked_bar_chart-identify_labels_of_scales-energy_and_environment,q1,4
author1,stacked_bar_chart-identify_labels_of_scales-energy_and_environment,q4,Yes
author1,scatterplot-make_comparisons-energy_and_environment,q1,3
author1,scatterplot-make_comparisons-energy_and_environment,q2,4
author1,scatterplot-make_comparisons-energy_and_environment,q4,Yes
author1,scatterplot-make_comparisons-energy_and_environment,q3,Yes
author1,scatterplot-make_comparisons-energy_and_environment,q5,
author1,area_chart-describe_the_characteristics_of_an_alternative_chart_type-energy_and_environment,q5,
author1,area_chart-describe_the_characteristics_of_an_alternative_chart_type-energy_and_environment,q3,Yes
author1,area_chart-describe_the_characteristics_of_an_alternative_chart_type-energy_and_environment,q1,3
author1,area_chart-describe_the_characteristics_of_an_alternative_chart_type-energy_and_environment,q2,4
author1,area_chart-describe_the_characteristics_of_an_alternative_chart_type-energy_and_environment,q4,Yes
author1,100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment,q3,Yes
author1,100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment,q2,4
author1,100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment,q5,
author1,100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment,q4,Yes
author1,100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment,q1,4
author1,bar_chart-judge_which_task_this_visualization_design_best_supports-energy_and_environment,q2,4
author1,bar_chart-judge_which_task_this_visualization_design_best_supports-energy_and_environment,q1,4
author1,bar_chart-judge_which_task_this_visualization_design_best_supports-energy_and_environment,q4,Yes
author1,bar_chart-judge_which_task_this_visualization_design_best_supports-energy_and_environment,q5,
author1,bar_chart-judge_which_task_this_visualization_design_best_supports-energy_and_environment,q3,Yes
author1,line_chart-identify_range-energy_and_environment,q2,4
author1,line_chart-identify_range-energy_and_environment,q3,Yes
author1,line_chart-identify_range-energy_and_environment,q1,4
author1,line_chart-identify_range-energy_and_environment,q4,Yes
author1,line_chart-identify_range-energy_and_environment,q5,
author1,stacked_area_chart-make_comparisons-energy_and_environment,q4,Yes
author1,stacked_area_chart-make_comparisons-energy_and_environment,q1,3
author1,stacked_area_chart-make_comparisons-energy_and_environment,q2,4
author1,stacked_area_chart-make_comparisons-energy_and_environment,q5,
author1,stacked_area_chart-make_comparisons-energy_and_environment,q3,Yes
author1,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,q3,Yes
author1,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,q5,
author1,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,q1,3
author1,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,q2,4
author1,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,q4,Yes
author1,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q4,Yes
author1,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q5,vis is a bit strange
author1,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q1,3
author1,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q3,Yes
author1,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q2,4
author1,100_percent_stacked_bar_chart-identify_labels_of_scales-weather_and_climate,q5,
author1,100_percent_stacked_bar_chart-identify_labels_of_scales-weather_and_climate,q4,Yes
author1,100_percent_stacked_bar_chart-identify_labels_of_scales-weather_and_climate,q1,4
author1,100_percent_stacked_bar_chart-identify_labels_of_scales-weather_and_climate,q3,Yes
author1,100_percent_stacked_bar_chart-identify_labels_of_scales-weather_and_climate,q2,4
author1,stacked_area_chart-identify_labels_of_scales-weather_and_climate,q5,
author1,stacked_area_chart-identify_labels_of_scales-weather_and_climate,q4,Yes
author1,stacked_area_chart-identify_labels_of_scales-weather_and_climate,q3,Yes
author1,stacked_area_chart-identify_labels_of_scales-weather_and_climate,q2,4
author1,stacked_area_chart-identify_labels_of_scales-weather_and_climate,q1,4
author1,scatterplot-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q2,4
author1,scatterplot-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q4,Yes
author1,scatterplot-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q3,Yes
author1,scatterplot-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q5,
author1,scatterplot-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q1,4
author1,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q2,3
author1,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q3,No
author1,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q1,2
author1,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q5,this vs cannot be turned into a line chart
author1,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q4,No
author1,tree_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q2,4
author1,tree_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q5,map is weird because temp prep and wind are not the same hierarchy
author1,tree_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q4,Yes
author1,tree_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q1,3
author1,tree_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q3,Yes
author1,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q1,4
author1,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q3,Yes
author1,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q5,
author1,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q4,Yes
author1,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q2,4
author1,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q4,Yes
author1,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q5,size can be hard to compare (aggregation)
author1,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q1,3
author1,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q2,4
author1,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q3,Yes
author1,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q2,4
author1,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q4,Yes
author1,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q3,Yes
author1,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q1,4
author1,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q5,
author1,line_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q1,3
author1,line_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q3,Yes
author1,line_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q2,2
author1,line_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q4,Yes
author1,line_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q5,already a line chart...
author1,scatterplot-locate_value-weather_and_climate,q4,Yes
author1,scatterplot-locate_value-weather_and_climate,q1,3
author1,scatterplot-locate_value-weather_and_climate,q3,Yes
author1,scatterplot-locate_value-weather_and_climate,q5,
author1,scatterplot-locate_value-weather_and_climate,q2,4
author1,100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-weather_and_climate,q4,Yes
author1,100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-weather_and_climate,q5,
author1,100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-weather_and_climate,q3,Yes
author1,100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-weather_and_climate,q1,4
author1,100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-weather_and_climate,q2,4
author1,histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q3,Yes
author1,histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q1,4
author1,histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q5,
author1,histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q2,4
author1,histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q4,Yes
author1,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q2,4
author1,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q1,4
author1,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q4,Yes
author1,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q3,Yes
author1,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,q5,
author1,100_percent_stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q1,4
author1,100_percent_stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q4,Yes
author1,100_percent_stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q5,
author1,100_percent_stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q3,Yes
author1,100_percent_stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-weather_and_climate,q2,4
author1,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q2,4
author1,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q5,bubble chart is hard to show in a different chart type
author1,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q1,4
author1,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q4,No
author1,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,q3,Yes
author1,tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q4,Yes
author1,tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q3,Yes
author1,tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q5,map problematic
author1,tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q1,3
author1,tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,q2,4
author1,area_chart-identify_labels_of_scales-food_and_agriculture,q5,
author1,area_chart-identify_labels_of_scales-food_and_agriculture,q3,Yes
author1,area_chart-identify_labels_of_scales-food_and_agriculture,q2,4
author1,area_chart-identify_labels_of_scales-food_and_agriculture,q4,Yes
author1,area_chart-identify_labels_of_scales-food_and_agriculture,q1,4
author1,choropleth_map-describe_the_topic_of_the_visualization-food_and_agriculture,q1,4
author1,choropleth_map-describe_the_topic_of_the_visualization-food_and_agriculture,q5,
author1,choropleth_map-describe_the_topic_of_the_visualization-food_and_agriculture,q2,4
author1,choropleth_map-describe_the_topic_of_the_visualization-food_and_agriculture,q4,Yes
author1,choropleth_map-describe_the_topic_of_the_visualization-food_and_agriculture,q3,Yes
author1,100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture,q3,Yes
author1,100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture,q2,4
author1,100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture,q4,Yes
author1,100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture,q1,4
