"Pid","trialName","Qid","Answer"
"expert_1","tree_map-retrieve_value-politics","q3","Yes"
"expert_1","tree_map-retrieve_value-politics","q2","4"
"expert_1","tree_map-retrieve_value-politics","q5","People in some industries tend to like these charts. I would just print the values in the chart for this task. No reason not to."
"expert_1","tree_map-retrieve_value-politics","q4","More than one option could be considered correct"
"expert_1","bubble_chart-describe_the_topic_of_the_visualization-food_and_agriculture","q2","3"
"expert_1","bubble_chart-describe_the_topic_of_the_visualization-food_and_agriculture","q3","Yes"
"expert_1","bubble_chart-describe_the_topic_of_the_visualization-food_and_agriculture","q4","Yes"
"expert_1","bubble_chart-describe_the_topic_of_the_visualization-food_and_agriculture","q1","3"
"expert_1","bubble_chart-describe_the_topic_of_the_visualization-food_and_agriculture","q5",""
"expert_1","line_chart-estimate_the_difference_between_two_values_of_the_same_type-food_and_agriculture","q4","Yes"
"expert_1","line_chart-estimate_the_difference_between_two_values_of_the_same_type-food_and_agriculture","q2","4"
"expert_1","line_chart-estimate_the_difference_between_two_values_of_the_same_type-food_and_agriculture","q3","Yes"
"expert_1","line_chart-estimate_the_difference_between_two_values_of_the_same_type-food_and_agriculture","q1","4"
"expert_1","line_chart-estimate_the_difference_between_two_values_of_the_same_type-food_and_agriculture","q5",""
"expert_1","stacked_bar_chart-locate_value-politics","q4","Yes"
"expert_1","stacked_bar_chart-locate_value-politics","q5","You can locate if the differences are large. But because the baselines are different, it's hard to compare length."
"expert_1","stacked_bar_chart-locate_value-politics","q3","Yes"
"expert_1","stacked_bar_chart-locate_value-politics","q1","3"
"expert_1","stacked_bar_chart-locate_value-politics","q2","4"
"expert_1","bar_chart-make_comparisons-innovation","q5","Yep. I could answer this question in a couple of seconds. As opposed to the stacked chart. that took me like 2 minutes."
"expert_1","bar_chart-make_comparisons-innovation","q1","4"
"expert_1","bar_chart-make_comparisons-innovation","q4","Yes"
"expert_1","bar_chart-make_comparisons-innovation","q3","Yes"
"expert_1","bar_chart-make_comparisons-innovation","q2","4"
"expert_1","100_percent_stacked_bar_chart-identify_labels_of_scales-weather_and_climate","q3","Yes"
"expert_1","100_percent_stacked_bar_chart-identify_labels_of_scales-weather_and_climate","q5",""
"expert_1","100_percent_stacked_bar_chart-identify_labels_of_scales-weather_and_climate","q1","4"
"expert_1","100_percent_stacked_bar_chart-identify_labels_of_scales-weather_and_climate","q4","Yes"
"expert_1","100_percent_stacked_bar_chart-identify_labels_of_scales-weather_and_climate","q2","4"
"expert_1","pie_chart-describe_the_topic_of_the_visualization-politics","q5","Vague title."
"expert_1","pie_chart-describe_the_topic_of_the_visualization-politics","q3","Yes"
"expert_1","pie_chart-describe_the_topic_of_the_visualization-politics","q2","4"
"expert_1","pie_chart-describe_the_topic_of_the_visualization-politics","q1","2"
"expert_1","pie_chart-describe_the_topic_of_the_visualization-politics","q4","Yes"
"expert_1","pie_chart-retrieve_value-energy_and_environment","q1","3"
"expert_1","pie_chart-retrieve_value-energy_and_environment","q3","Yes"
"expert_1","pie_chart-retrieve_value-energy_and_environment","q4","Yes"
"expert_1","pie_chart-retrieve_value-energy_and_environment","q2","4"
"expert_1","pie_chart-retrieve_value-energy_and_environment","q5",""
"expert_1","tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate","q3","Yes"
"expert_1","tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate","q5","Hard to figure out what the question is saying, the key is in the legend."
"expert_1","tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate","q4","Yes"
"expert_1","tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate","q1","1"
"expert_1","tree_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate","q2","2"
"expert_1","choropleth_map-retrieve_value-population_and_demography","q4","More than one option could be considered correct"
"expert_1","choropleth_map-retrieve_value-population_and_demography","q3","Yes"
"expert_1","choropleth_map-retrieve_value-population_and_demography","q5","I can guess what range california falls into. But nothing more than that."
"expert_1","choropleth_map-retrieve_value-population_and_demography","q2","4"
"expert_1","choropleth_map-retrieve_value-population_and_demography","q1","1"
"expert_1","pie_chart-make_comparisons-energy_and_environment","q5","I think depending on the question, this chart would be fine, or would be very hard to go through. "
"expert_1","pie_chart-make_comparisons-energy_and_environment","q4","Yes"
"expert_1","pie_chart-make_comparisons-energy_and_environment","q1","3"
"expert_1","pie_chart-make_comparisons-energy_and_environment","q3","Yes"
"expert_1","pie_chart-make_comparisons-energy_and_environment","q2","4"
"expert_1","scatterplot-identify_range-economy","q1","4"
"expert_1","scatterplot-identify_range-economy","q5","For this specific range task, this is great."
"expert_1","scatterplot-identify_range-economy","q2","4"
"expert_1","scatterplot-identify_range-economy","q3","Yes"
"expert_1","scatterplot-identify_range-economy","q4","Yes"
"expert_1","stacked_bar_chart-describe_the_topic_of_the_visualization-economy","q4","Yes"
"expert_1","stacked_bar_chart-describe_the_topic_of_the_visualization-economy","q2","4"
"expert_1","stacked_bar_chart-describe_the_topic_of_the_visualization-economy","q1","4"
"expert_1","stacked_bar_chart-describe_the_topic_of_the_visualization-economy","q5",""
"expert_1","stacked_bar_chart-describe_the_topic_of_the_visualization-economy","q3","Yes"
"expert_1","histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation","q1","2"
"expert_1","histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation","q3","Yes"
"expert_1","histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation","q5",""
"expert_1","histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation","q4","Yes"
"expert_1","histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation","q2","3"
"expert_1","stacked_area_chart-locate_value-economy","q2","4"
"expert_1","stacked_area_chart-locate_value-economy","q4","No"
"expert_1","stacked_area_chart-locate_value-economy","q3","No"
"expert_1","stacked_area_chart-locate_value-economy","q5",""
"expert_1","stacked_area_chart-locate_value-economy","q1","1"
"expert_1","area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","q1","3"
"expert_1","area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","q3","Yes"
"expert_1","area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","q4","Yes"
"expert_1","area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","q2","4"
"expert_1","area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","q5",""
"expert_1","tree_map-make_comparisons-energy_and_environment","q5","It's hard to compare when values are relatively close to each other."
"expert_1","tree_map-make_comparisons-energy_and_environment","q1","2"
"expert_1","tree_map-make_comparisons-energy_and_environment","q4","Yes"
"expert_1","tree_map-make_comparisons-energy_and_environment","q2","4"
"expert_1","tree_map-make_comparisons-energy_and_environment","q3","Yes"
"expert_1","scatterplot-estimate_the_average_of_multiple_values_of_the_same_type-politics","q4","Yes"
"expert_1","scatterplot-estimate_the_average_of_multiple_values_of_the_same_type-politics","q1","4"
"expert_1","scatterplot-estimate_the_average_of_multiple_values_of_the_same_type-politics","q3","Yes"
"expert_1","scatterplot-estimate_the_average_of_multiple_values_of_the_same_type-politics","q2","4"
"expert_1","scatterplot-estimate_the_average_of_multiple_values_of_the_same_type-politics","q5",""
"expert_1","scatterplot-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q2","4"
"expert_1","scatterplot-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q4","Yes"
"expert_1","scatterplot-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q5",""
"expert_1","scatterplot-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q3","Yes"
"expert_1","scatterplot-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q1","4"
"expert_1","line_chart-describe_trend_or_correlation-population_and_demography","q5",""
"expert_1","line_chart-describe_trend_or_correlation-population_and_demography","q4","Yes"
"expert_1","line_chart-describe_trend_or_correlation-population_and_demography","q1","4"
"expert_1","line_chart-describe_trend_or_correlation-population_and_demography","q3","Yes"
"expert_1","line_chart-describe_trend_or_correlation-population_and_demography","q2","4"
"expert_1","100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment","q1","2"
"expert_1","100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment","q5","Reading values from these charts is extremely difficult because of moving baselines for each category."
"expert_1","100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment","q3","Yes"
"expert_1","100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment","q2","4"
"expert_1","100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-energy_and_environment","q4","Yes"
"expert_1","choropleth_map-describe_trend_or_correlation-politics","q2","4"
"expert_1","choropleth_map-describe_trend_or_correlation-politics","q4","Yes"
"expert_1","choropleth_map-describe_trend_or_correlation-politics","q3","Yes"
"expert_1","choropleth_map-describe_trend_or_correlation-politics","q5",""
"expert_1","choropleth_map-describe_trend_or_correlation-politics","q1","4"
"expert_1","scatterplot-judge_which_visualization_design_is_more_appropriate_for_a_task-food_and_agriculture","q2","4"
"expert_1","scatterplot-judge_which_visualization_design_is_more_appropriate_for_a_task-food_and_agriculture","q3","Yes"
"expert_1","scatterplot-judge_which_visualization_design_is_more_appropriate_for_a_task-food_and_agriculture","q4","Yes"
"expert_1","scatterplot-judge_which_visualization_design_is_more_appropriate_for_a_task-food_and_agriculture","q5",""
"expert_1","scatterplot-judge_which_visualization_design_is_more_appropriate_for_a_task-food_and_agriculture","q1","4"
"expert_1","histogram-estimate_the_average_of_multiple_values_of_the_same_type-education","q2","4"
"expert_1","histogram-estimate_the_average_of_multiple_values_of_the_same_type-education","q5",""
"expert_1","histogram-estimate_the_average_of_multiple_values_of_the_same_type-education","q3","Yes"
"expert_1","histogram-estimate_the_average_of_multiple_values_of_the_same_type-education","q4","Yes"
"expert_1","histogram-estimate_the_average_of_multiple_values_of_the_same_type-education","q1","4"
"expert_1","tree_map-estimate_the_average_of_multiple_values_of_the_same_type-politics","q5","I would just print the percentage numbers on this chart."
"expert_1","tree_map-estimate_the_average_of_multiple_values_of_the_same_type-politics","q1","1"
"expert_1","tree_map-estimate_the_average_of_multiple_values_of_the_same_type-politics","q4","Yes"
"expert_1","tree_map-estimate_the_average_of_multiple_values_of_the_same_type-politics","q2","4"
"expert_1","tree_map-estimate_the_average_of_multiple_values_of_the_same_type-politics","q3","Yes"
"expert_1","histogram-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture","q4","Yes"
"expert_1","histogram-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture","q3","Yes"
"expert_1","histogram-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture","q1","4"
"expert_1","histogram-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture","q5",""
"expert_1","histogram-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture","q2","4"
"expert_1","stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-education","q2","4"
"expert_1","stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-education","q5","Needs alot of work to calculate the ratio."
"expert_1","stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-education","q4","Yes"
"expert_1","stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-education","q3","Yes"
"expert_1","stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-education","q1","2"
"expert_1","100_percent_stacked_bar_chart-describe_trend_or_correlation-health","q3","Yes"
"expert_1","100_percent_stacked_bar_chart-describe_trend_or_correlation-health","q5","This chart works pretty good for this task."
"expert_1","100_percent_stacked_bar_chart-describe_trend_or_correlation-health","q4","Yes"
"expert_1","100_percent_stacked_bar_chart-describe_trend_or_correlation-health","q1","4"
"expert_1","100_percent_stacked_bar_chart-describe_trend_or_correlation-health","q2","4"
"expert_1","histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q2","4"
"expert_1","histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q5",""
"expert_1","histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q1","4"
"expert_1","histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q3","Yes"
"expert_1","histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q4","Yes"
"expert_1","stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-economy","q2","4"
"expert_1","stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-economy","q4","Yes"
"expert_1","stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-economy","q1","4"
"expert_1","stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-economy","q5",""
"expert_1","stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-economy","q3","Yes"
"expert_1","100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture","q4","Yes"
"expert_1","100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture","q2","4"
"expert_1","100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture","q5",""
"expert_1","100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture","q3","Yes"
"expert_1","100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-food_and_agriculture","q1","3"
"expert_1","bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-energy_and_environment","q4","Yes"
"expert_1","bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-energy_and_environment","q5","The answer seems to be the provided chart."
"expert_1","bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-energy_and_environment","q1","3"
"expert_1","bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-energy_and_environment","q2","3"
"expert_1","bubble_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-energy_and_environment","q3","Yes"
"expert_1","bar_chart-describe_the_characteristics_of_an_alternative_chart_type-education","q3","Yes"
"expert_1","bar_chart-describe_the_characteristics_of_an_alternative_chart_type-education","q4","Yes"
"expert_1","bar_chart-describe_the_characteristics_of_an_alternative_chart_type-education","q2","4"
"expert_1","bar_chart-describe_the_characteristics_of_an_alternative_chart_type-education","q5",""
"expert_1","bar_chart-describe_the_characteristics_of_an_alternative_chart_type-education","q1","4"
"expert_1","bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate","q4","Yes"
"expert_1","bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate","q5","Multiple ways to create an alternative bar chart. But within the choices, the answer seems right."
"expert_1","bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate","q3","Yes"
"expert_1","bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate","q1","2"
"expert_1","bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate","q2","2"
"expert_1","choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate","q4","Yes"
"expert_1","choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate","q5","If the pattern we are looking for is geographic by nature, the answers make sense. But we might be looking at patterns of states by other factors that are not geographic."
"expert_1","choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate","q1","3"
"expert_1","choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate","q3","Yes"
"expert_1","choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate","q2","2"
"expert_1","stacked_area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-food_and_agriculture","q1","3"
"expert_1","stacked_area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-food_and_agriculture","q2","4"
"expert_1","stacked_area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-food_and_agriculture","q3","Yes"
"expert_1","stacked_area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-food_and_agriculture","q5",""
"expert_1","stacked_area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-food_and_agriculture","q4","Yes"
"expert_1","area_chart-judge_which_task_this_visualization_design_best_supports-health","q1","4"
"expert_1","area_chart-judge_which_task_this_visualization_design_best_supports-health","q3","Yes"
"expert_1","area_chart-judge_which_task_this_visualization_design_best_supports-health","q4","Yes"
"expert_1","area_chart-judge_which_task_this_visualization_design_best_supports-health","q5",""
"expert_1","area_chart-judge_which_task_this_visualization_design_best_supports-health","q2","4"
"expert_1","histogram-describe_trend_or_correlation-food_and_agriculture","q5",""
"expert_1","histogram-describe_trend_or_correlation-food_and_agriculture","q2","4"
"expert_1","histogram-describe_trend_or_correlation-food_and_agriculture","q4","Yes"
"expert_1","histogram-describe_trend_or_correlation-food_and_agriculture","q1","4"
"expert_1","histogram-describe_trend_or_correlation-food_and_agriculture","q3","Yes"
"expert_2","bar_chart-describe_trend_or_correlation-education","q4","Yes"
"expert_2","bar_chart-describe_trend_or_correlation-education","q1","2"
"expert_2","bar_chart-describe_trend_or_correlation-education","q3","Yes"
"expert_2","bar_chart-describe_trend_or_correlation-education","q5",""
"expert_2","bar_chart-describe_trend_or_correlation-education","q2","2"
"expert_2","histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q1","4"
"expert_2","histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q3","Yes"
"expert_2","histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q5",""
"expert_2","histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q2","4"
"expert_2","histogram-judge_which_task_this_visualization_design_best_supports-weather_and_climate","q4","Yes"
"expert_2","tree_map-describe_the_topic_of_the_visualization-education","q1","4"
"expert_2","tree_map-describe_the_topic_of_the_visualization-education","q2","4"
"expert_2","tree_map-describe_the_topic_of_the_visualization-education","q5",""
"expert_2","tree_map-describe_the_topic_of_the_visualization-education","q3","Yes"
"expert_2","tree_map-describe_the_topic_of_the_visualization-education","q4","Yes"
"expert_2","bubble_chart-retrieve_value-politics","q2","4"
"expert_2","bubble_chart-retrieve_value-politics","q3","No"
"expert_2","bubble_chart-retrieve_value-politics","q4","No"
"expert_2","bubble_chart-retrieve_value-politics","q1","1"
"expert_2","bubble_chart-retrieve_value-politics","q5","Hard to retrieve a value with this visual encoding"
"expert_2","100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-weather_and_climate","q5",""
"expert_2","100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-weather_and_climate","q1","4"
"expert_2","100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-weather_and_climate","q2","4"
"expert_2","100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-weather_and_climate","q4","Yes"
"expert_2","100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-weather_and_climate","q3","Yes"
"expert_2","scatterplot-identify_range-economy","q4","Yes"
"expert_2","scatterplot-identify_range-economy","q1","4"
"expert_2","scatterplot-identify_range-economy","q5",""
"expert_2","scatterplot-identify_range-economy","q2","4"
"expert_2","scatterplot-identify_range-economy","q3","Yes"
"expert_2","choropleth_map-identify_range-innovation","q4","Yes"
"expert_2","choropleth_map-identify_range-innovation","q2","4"
"expert_2","choropleth_map-identify_range-innovation","q5","Didn't really need the map here, just the legend, except to verify that the high / low ranges do indeed fall in the data somewhere."
"expert_2","choropleth_map-identify_range-innovation","q3","Yes"
"expert_2","choropleth_map-identify_range-innovation","q1","3"
"expert_2","stacked_area_chart-identify_labels_of_scales-weather_and_climate","q4","Yes"
"expert_2","stacked_area_chart-identify_labels_of_scales-weather_and_climate","q2","4"
"expert_2","stacked_area_chart-identify_labels_of_scales-weather_and_climate","q1","4"
"expert_2","stacked_area_chart-identify_labels_of_scales-weather_and_climate","q3","Yes"
"expert_2","stacked_area_chart-identify_labels_of_scales-weather_and_climate","q5",""
"expert_2","scatterplot-locate_value-weather_and_climate","q5",""
"expert_2","scatterplot-locate_value-weather_and_climate","q4","Yes"
"expert_2","scatterplot-locate_value-weather_and_climate","q2","4"
"expert_2","scatterplot-locate_value-weather_and_climate","q1","4"
"expert_2","scatterplot-locate_value-weather_and_climate","q3","Yes"
"expert_2","area_chart-describe_the_characteristics_of_an_alternative_chart_type-energy_and_environment","q5",""
"expert_2","area_chart-describe_the_characteristics_of_an_alternative_chart_type-energy_and_environment","q4","Yes"
"expert_2","area_chart-describe_the_characteristics_of_an_alternative_chart_type-energy_and_environment","q1","4"
"expert_2","area_chart-describe_the_characteristics_of_an_alternative_chart_type-energy_and_environment","q2","4"
"expert_2","area_chart-describe_the_characteristics_of_an_alternative_chart_type-energy_and_environment","q3","Yes"
"expert_2","area_chart-make_comparisons-food_and_agriculture","q5","Better tick mark labels would make it clearer where 2019 is. A reference line would make it easier to compare the far apart data points."
"expert_2","area_chart-make_comparisons-food_and_agriculture","q1","3"
"expert_2","area_chart-make_comparisons-food_and_agriculture","q3","Yes"
"expert_2","area_chart-make_comparisons-food_and_agriculture","q4","Yes"
"expert_2","area_chart-make_comparisons-food_and_agriculture","q2","4"
"expert_2","100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","q1","1"
"expert_2","100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","q5","I'm skipping any remaining mental math Q's and just putting random answers."
"expert_2","100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","q2","1"
"expert_2","100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","q3","Yes"
"expert_2","100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","q4","Yes"
"expert_2","tree_map-describe_trend_or_correlation-education","q4","No"
"expert_2","tree_map-describe_trend_or_correlation-education","q5",""
"expert_2","tree_map-describe_trend_or_correlation-education","q2","2"
