Pid,trialName,q5,q3,reason,tentative decision
author2,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,,Yes,,
expert_1,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,"If the pattern we are looking for is geographic by nature, the answers make sense. But we might be looking at patterns of states by other factors that are not geographic.",Yes,only one expert said no but majority said yes,"q3: Y
keep"
expert_2,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,,Yes,,
expert_5,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,,Yes,,
expert_9,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,,No,,
author1,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,,Yes,,
author2,choropleth_map-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,,Yes,,
expert_1,histogram-describe_trend_or_correlation-food_and_agriculture,,Yes,only one expert said no but majority said yes,"q3: Y
keep"
expert_4,histogram-describe_trend_or_correlation-food_and_agriculture,,Yes,,
expert_5,histogram-describe_trend_or_correlation-food_and_agriculture,,No,,
author1,histogram-describe_trend_or_correlation-food_and_agriculture,,Yes,,
author2,histogram-describe_trend_or_correlation-food_and_agriculture,,Yes,,
expert_1,histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation,,Yes,only one expert said no but majority said yes,"q3: Y
keep"
expert_2,histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation,,No,,
expert_5,histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation,,Yes,,
expert_9,histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation,,Yes,,
author1,histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation,a bit strange,Yes,,
author2,histogram-estimate_the_difference_between_two_values_of_the_same_type-innovation,,Yes,,
expert_3,histogram-identify_range-health,,Yes,only one expert said no but majority said yes,"q3: Y
keep"
expert_4,histogram-identify_range-health,It's a little hard to tell which option is correct.,No,,
expert_6,histogram-identify_range-health,,Yes,,
expert_11,histogram-identify_range-health,,Yes,,
author1,histogram-identify_range-health,,Yes,,
author2,histogram-identify_range-health,,Yes,,
expert_3,histogram-locate_value-economy,,Yes,"

only one expert said no but majority said yes","q3: Y
keep"
expert_6,histogram-locate_value-economy,,Yes,,
expert_8,histogram-locate_value-economy,,No,,
expert_11,histogram-locate_value-economy,,Yes,,
author1,histogram-locate_value-economy,,Yes,,
author2,histogram-locate_value-economy,,Yes,,
expert_2,histogram-retrieve_value-health,only the x axis is needed; someone not paying attention might default to reading a value off the (incorrect) y axis,No,"aggregation issues with histogram when it comes to ""retrieve value""

","q3: N
remove"
expert_5,histogram-retrieve_value-health,,Yes,,
expert_9,histogram-retrieve_value-health,,No,,
expert_10,histogram-retrieve_value-health,"This is a histogram, which shows bins (so it is impossible to determine the exact maximum). The largest *bin* is centered at 225.",No,,
author1,histogram-retrieve_value-health,,Yes,,
author2,histogram-retrieve_value-health,,Yes,,
expert_2,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,Uck more mental math,No,"

only one expert said no but majority said yes","q3: Y
keep"
expert_5,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,,Yes,,
expert_9,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,,Yes,,
expert_10,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,,Yes,,
author1,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,,Yes,,
author2,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment,,Yes,,
expert_3,line_chart-judge_which_task_this_visualization_design_best_supports-politics,,Yes,more people said yes than no,"q3: Y
keep"
expert_7,line_chart-judge_which_task_this_visualization_design_best_supports-politics,,Yes,,
expert_8,line_chart-judge_which_task_this_visualization_design_best_supports-politics,A and B both look reasonable. Hard to argue which one is better ,Yes,,
expert_10,line_chart-judge_which_task_this_visualization_design_best_supports-politics,,No,,
author1,line_chart-judge_which_task_this_visualization_design_best_supports-politics,,Yes,,
author2,line_chart-judge_which_task_this_visualization_design_best_supports-politics,,No,,
expert_3,pie_chart-estimate_the_difference_between_two_values_of_the_same_type-education,,Yes,"
estimate difference can be hard for pie chart
only one expert said no but majority said yes","q3: Y
keep"
expert_6,pie_chart-estimate_the_difference_between_two_values_of_the_same_type-education,"Perhaps a shorter question would be more clear; I initially overlooked the ""percentage points"" part of the question, and noted that the ""value"" version of the question would be hard to answer. ",Yes,,
expert_8,pie_chart-estimate_the_difference_between_two_values_of_the_same_type-education,A pie is even worse than stacked bars for this task,No,,
expert_11,pie_chart-estimate_the_difference_between_two_values_of_the_same_type-education,,Yes,,
author1,pie_chart-estimate_the_difference_between_two_values_of_the_same_type-education,a bit hard,Yes,,
author2,pie_chart-estimate_the_difference_between_two_values_of_the_same_type-education,,Yes,,
expert_4,pie_chart-identify_labels_of_scales-energy_and_environment,,Yes,special error: all pie charts don't have legend,"q3: N
remove"
expert_6,pie_chart-identify_labels_of_scales-energy_and_environment,"There is no legend on this visualization; if there was, perhaps this question would be clear and reasonable.",Yes,,
expert_11,pie_chart-identify_labels_of_scales-energy_and_environment,there is no legend,Yes,,
author1,pie_chart-identify_labels_of_scales-energy_and_environment,legend not displayed ,No,,
author2,pie_chart-identify_labels_of_scales-energy_and_environment,,Yes,,
expert_4,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health,Cannot tell which answer is correct.,No,only one expert said no but majority said yes,"q3: Y
keep"
expert_6,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health,,Yes,,
expert_11,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health,,Yes,,
author1,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health,very hard especially bottom not aligned,Yes,,
author2,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health,on the harder side,Yes,,
expert_3,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,,No,"stacked area chart has conceptual error, which causes confusion on the task","q3: No
remove"
expert_7,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,,Yes,,
expert_8,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,"Not sure what ""total temperature"" etc means. We can't just sum up temperature and divide it by the sum of speed? I guess the point is to compare the colored areas but this question doesn't make physical sense",No,,
expert_10,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,I have no idea what this questions is asking,No,,
author1,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,vis is a bit strange ,Yes,,
author2,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,,Yes,,
expert_1,stacked_area_chart-identify_range-innovation,"The way I understand the question, it's asking for total number of innovations for all categories combined. The answers seem to show the range for each category. This chart i fine for making an estimate for all categories, but would be really hard for the the maximum range of innovation from within.",No,more people said yes than no,"q3: Y
keep"
expert_5,stacked_area_chart-identify_range-innovation,,No,,
expert_9,stacked_area_chart-identify_range-innovation,,Yes,,
author1,stacked_area_chart-identify_range-innovation,,Yes,,
author2,stacked_area_chart-identify_range-innovation,,Yes,,
expert_1,stacked_area_chart-locate_value-economy,,No,only one expert said no but majority said yes,"q3: Y
keep"
expert_4,stacked_area_chart-locate_value-economy,,Yes,,
expert_5,stacked_area_chart-locate_value-economy,,Yes,,
author1,stacked_area_chart-locate_value-economy,strange wording,Yes,,
author2,stacked_area_chart-locate_value-economy,,Yes,,
expert_3,stacked_area_chart-make_comparisons-energy_and_environment,,Yes,"

only one expert said no but majority said yes","q3: Y
keep"
expert_6,stacked_area_chart-make_comparisons-energy_and_environment,"This chart does not seem like the ideal choice to answer this question, which makes it seem less relevant. Direct comparison of the users or visualization of the trend between them may be more effective.",Yes,,
expert_8,stacked_area_chart-make_comparisons-energy_and_environment,"I can't really tell what the values are for solar/wind, let alone increase/decrease",No,,
expert_11,stacked_area_chart-make_comparisons-energy_and_environment,,Yes,,
author1,stacked_area_chart-make_comparisons-energy_and_environment,,Yes,,
author2,stacked_area_chart-make_comparisons-energy_and_environment,,Yes,,
expert_3,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,,No,"for ""describe the characteristics of an alternative chart type"", GPT sometimes selects unsuitable chart types. Also, certain chart types are very hard to replace.
stacked bar chart also hard to change to an alternative","q3: N
remove"
expert_7,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,,Yes,,
expert_8,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,,Yes,,
expert_10,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,This would be an inappropriate use of a line chart,No,,
author1,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,this vs cannot be turned into a line chart,No,,
author2,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,,No,,
expert_3,stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-education,,Yes,"

only one expert said no but majority said yes","q3: Y
keep"
expert_7,stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-education,Cannot tell the exact number,Yes,,
expert_8,stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-education,I can't tell,No,,
expert_10,stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-education,This specific question compares two extremely close values in a challenging color palette; I think you are likely to get a lot of confounding.,Yes,,
author1,stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-education,a bit hard,Yes,,
author2,stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-education,,Yes,,
expert_2,tree_map-describe_trend_or_correlation-education,,No,"hard to ask trend questions when treemap does not contain temporal values

more people said yes than no","q3: Y
keep"
expert_5,tree_map-describe_trend_or_correlation-education,,Yes,,
expert_9,tree_map-describe_trend_or_correlation-education,,Yes,,
expert_10,tree_map-describe_trend_or_correlation-education,"I don't know what you mean by a ""decreasing trend"" in a squarified treemap",No,,
author1,tree_map-describe_trend_or_correlation-education,not really about trend. trend is hard with tree map without a time dimension,Yes,,
author2,tree_map-describe_trend_or_correlation-education,,Yes,,
expert_4,tree_map-estimate_the_difference_between_two_values_of_the_same_type-education,Hard to tell which one is the correct answer.,Yes,only one expert said no but majority said yes,"q3: Y
keep"
expert_6,tree_map-estimate_the_difference_between_two_values_of_the_same_type-education,,Yes,,
expert_11,tree_map-estimate_the_difference_between_two_values_of_the_same_type-education,,No,,
author1,tree_map-estimate_the_difference_between_two_values_of_the_same_type-education,a bit hard,Yes,,
author2,tree_map-estimate_the_difference_between_two_values_of_the_same_type-education,,Yes,,
expert_2,tree_map-identify_labels_of_scales-population_and_demography,This question is nonsensical given the chart.,No,"treemap has a conceptual error because of an inappropriate hierarchy

only one expert said no and the majority said yes","q3: Y
remove"
expert_7,tree_map-identify_labels_of_scales-population_and_demography,,Yes,,
expert_8,tree_map-identify_labels_of_scales-population_and_demography,The color legend makes sense but the treemap itself doesn't,Yes,,
expert_10,tree_map-identify_labels_of_scales-population_and_demography,,Yes,,
author1,tree_map-identify_labels_of_scales-population_and_demography,tree map is problematic because of the three categories are not a partition,Yes,,
author2,tree_map-identify_labels_of_scales-population_and_demography,,Yes,,
expert_3,tree_map-identify_range-energy_and_environment,Very challenging to compare the areas,Yes,"hard to retrieve value and identify range from tree map

more people said yes than no","q3: Y
keep"
expert_6,tree_map-identify_range-energy_and_environment,"Not as clear in this one what values are being encoded, so it seems like there could be more uncertainty or confusion related to the visualization question/items.",Yes,,
expert_7,tree_map-identify_range-energy_and_environment,Cannot read any values from the visualization,No,,
expert_8,tree_map-identify_range-energy_and_environment,Not sure what the tree map represents or what the ranges are in the options,No,,
author1,tree_map-identify_range-energy_and_environment,a bit hard to estimate ,Yes,,
author2,tree_map-identify_range-energy_and_environment,not sure what the numbers correspond to,Yes,,
