"trialId","answer","correctAnswer","pid"
"bar_chart-make_comparisons-food_and_agriculture","Soybeans","Soybeans","p32"
"bar_chart-retrieve_value-energy_and_environment","328","328","p32"
"bubble_chart-describe_trend_or_correlation-food_and_agriculture","As production increases, profit also increases.","There is no clear trend or correlation between production and profit.","p32"
"bubble_chart-identify_range-energy_and_environment","[100,000, 130,000]","[100,098, 129,332]","p32"
"bubble_chart-locate_value-politics","Libertarian Party with $1,378,536","Libertarian Party with $1,378,536","p32"
"bubble_chart-make_comparisons-weather_and_climate","Location B","Location B","p32"
"bubble_chart-retrieve_value-weather_and_climate","10 mm","2 mm","p32"
"bubble_chart_with_cluster-identify_clusters-population_and_demography","City 1, City 2, City 3, and City 4","City 1, City 2, City 3, and City 4","p32"
"bubble_chart_with_outlier-identify_anomalies-economy","Country A","Country A","p32"
"choropleth_map-locate_value-politics","New York","New York","p32"
"choropleth_map-make_comparisons-economy","Florida","Florida","p32"
"choropleth_map-retrieve_value-weather_and_climate","100","100","p32"
"histogram-locate_value-economy","$82,000","$82,000","p32"
"histogram-make_comparisons-health","150-159","150-159","p32"
"histogram-retrieve_value-health","222","222","p32"
"line_chart-describe_trend_or_correlation-education","Fluctuations in enrollment numbers without a clear upward or downward trend.","Fluctuations in enrollment numbers without a clear upward or downward trend.","p32"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","25000000","29457000","p32"
"line_chart-identify_range-politics","[17, 83]","[32, 68]","p32"
"line_chart-locate_value-politics","2000","2000","p32"
"line_chart-retrieve_value-economy","10","10","p32"
"pie_chart-locate_value-economy","Construction","Construction","p32"
"pie_chart-make_comparisons-health","Diet has a greater percentage allocation than Hydration.","Diet has a greater percentage allocation than Hydration.","p32"
"pie_chart-retrieve_value-health","25%","25%","p32"
"scatterplot-describe_trend_or_correlation-innovation","There is no clear trend or correlation between Research Investment and Innovation Scores.","There is no clear trend or correlation between Research Investment and Innovation Scores.","p32"
"scatterplot-identify_range-innovation","[106, 200]","[106, 200]","p32"
"scatterplot-locate_value-population_and_demography","Population: 4003","Population: 4003","p32"
"scatterplot-make_comparisons-economy","The Unemployment Rate is higher at a GDP of 1500 billion.","The Unemployment Rate is higher at a GDP of 1500 billion.","p32"
"scatterplot-retrieve_value-health","117 cm","117 cm","p32"
"scatterplot_with_cluster-identify_clusters-weather_and_climate","Around 50 degrees temperature and 50 degrees humidity","Around 50 degrees temperature and 50 degrees humidity","p32"
"scatterplot_with_outlier-identify_anomalies-food_and_agriculture","Crop Yield: 120 quintals/ha, Fertilizer Use: 250 kg/ha","Crop Yield: 120 quintals/ha, Fertilizer Use: 250 kg/ha","p32"
"stacked_area_chart-describe_trend_or_correlation-food_and_agriculture","Production of each crop fluctuates without a clear upward or downward trend.","Production of each crop fluctuates without a clear upward or downward trend.","p32"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-education","1.2","2.2","p32"
"stacked_area_chart-locate_value-politics","2013","2007","p32"
"stacked_area_chart-make_comparisons-politics","Libertarian Party","Libertarian Party","p32"
"stacked_area_chart-retrieve_value-education","431","431","p32"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-education","1.4","0.4","p32"
"stacked_bar_chart-locate_value-food_and_agriculture","Oats in the North with 917 tons","Millet in the West with 970 tons","p32"
"stacked_bar_chart-make_comparisons-weather_and_climate","CityA","CityA","p32"
"stacked_bar_chart-retrieve_value-weather_and_climate","85","51","p32"
"tree_map-identify_the_hierarchical_structure-food_and_agriculture","Fruits","Fruits","p32"
"tree_map-locate_value-education","Biology","Biology","p32"
"tree_map-retrieve_value-education","20%","20%","p32"
"100_percent_stacked_bar_chart-locate_value-energy_and_environment","2020, Solar","2020, Solar","p62"
"100_percent_stacked_bar_chart-make_comparisons-weather_and_climate","Cloudy","Cloudy","p62"
"100_percent_stacked_bar_chart-retrieve_value-population_and_demography","27%","27%","p62"
"area_chart-describe_trend_or_correlation-economy","The GDP remains constant over the years.","The GDP remains constant over the years.","p62"
"area_chart-identify_range-economy","[961, 961]","[961, 961]","p62"
"area_chart-locate_value-energy_and_environment","2019","2019","p62"
"area_chart-retrieve_value-health","84","99","p62"
"bar_chart-identify_range-food_and_agriculture","[150, 1150]","[217, 917]","p62"
"bar_chart-locate_value-economy","Manufacturing","Manufacturing","p62"
"bar_chart-make_comparisons-population_and_demography","""0-14"" has a larger population than ""45-64""","""0-14"" has a larger population than ""45-64""","p62"
"bar_chart-retrieve_value-education","139","139","p62"
"bubble_chart-describe_trend_or_correlation-economy","There is no clear trend or correlation between GDP and Unemployment Rate.","There is no clear trend or correlation between GDP and Unemployment Rate.","p62"
"bubble_chart-identify_range-innovation","[50, 190]","[61, 164]","p62"
"bubble_chart-locate_value-weather_and_climate","Location C","Location C","p62"
"bubble_chart-make_comparisons-energy_and_environment","Cyprum","Grevia","p62"
"bubble_chart-retrieve_value-education","670","570","p62"
"bubble_chart_with_cluster-identify_clusters-population_and_demography","City 1, City 2, City 3, and City 4","City 1, City 2, City 3, and City 4","p62"
"bubble_chart_with_outlier-identify_anomalies-education","School C","School A","p62"
"choropleth_map-locate_value-politics","New York","New York","p62"
"choropleth_map-make_comparisons-economy","Florida","Florida","p62"
"choropleth_map-retrieve_value-weather_and_climate","85","100","p62"
"histogram-locate_value-energy_and_environment","63 MWh","63 MWh","p62"
"histogram-make_comparisons-innovation","5-10 contains more observations.","5-10 contains more observations.","p62"
"histogram-retrieve_value-health","222","222","p62"
"line_chart-describe_trend_or_correlation-economy","A cyclical pattern with regular intervals of peaks and troughs.","No clear trend or correlation in GDP growth rates over the years.","p62"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-politics","36","36","p62"
"line_chart-identify_range-politics","[32, 68]","[32, 68]","p62"
"line_chart-locate_value-health","Day 5","Day 5","p62"
"line_chart-retrieve_value-health","64","64","p62"
"pie_chart-locate_value-food_and_agriculture","Dairy","Dairy","p62"
"pie_chart-make_comparisons-education","Middle School","Middle School","p62"
"pie_chart-retrieve_value-education","30%","30%","p62"
"scatterplot-describe_trend_or_correlation-politics","Voter Turnout and Opposition Support are perfectly negatively correlated.","As Voter Turnout increases, Opposition Support decreases.","p62"
"scatterplot-identify_range-politics","[52, 90]","[52, 90]","p62"
"scatterplot-locate_value-education","15 hours","15 hours","p62"
"scatterplot-make_comparisons-politics","Above 80%","Below 60%","p62"
"scatterplot-retrieve_value-economy","0","0","p62"
"scatterplot_with_cluster-identify_clusters-weather_and_climate","Around 80 degrees temperature and 90 degrees humidity","Around 50 degrees temperature and 50 degrees humidity","p62"
"scatterplot_with_outlier-identify_anomalies-innovation","Innovation Index of 63 and Patent Count of 18","Innovation Index of 150 and Patent Count of 30","p62"
"stacked_area_chart-describe_trend_or_correlation-population_and_demography","The population of the ""65+"" age group showed a consistent decline over the years.","No clear trend in population changes is observed across all age groups.","p62"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-energy_and_environment","2.5","2.5","p62"
"stacked_area_chart-locate_value-energy_and_environment","2019","2005","p62"
"stacked_area_chart-make_comparisons-food_and_agriculture","Wheat","It varied by year.","p62"
"stacked_area_chart-retrieve_value-innovation","220","191","p62"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-food_and_agriculture","3.5","2.5","p62"
"stacked_bar_chart-locate_value-politics","State 1","State 4","p62"
"stacked_bar_chart-make_comparisons-weather_and_climate","CityA","CityA","p62"
"stacked_bar_chart-retrieve_value-politics","300","472","p62"
"tree_map-identify_the_hierarchical_structure-education","Mathematics","Mathematics","p62"
"tree_map-locate_value-education","Biology","Biology","p62"
"tree_map-retrieve_value-economy","10%","15%","p62"
"100_percent_stacked_bar_chart-locate_value-education","Hilltop Middle","Hilltop Middle","p52"
"100_percent_stacked_bar_chart-make_comparisons-food_and_agriculture","Vegetables","Vegetables","p52"
"100_percent_stacked_bar_chart-retrieve_value-education","30%","30%","p52"
"area_chart-describe_trend_or_correlation-economy","The GDP shows a consistent upward trend over the years.","The GDP remains constant over the years.","p52"
"area_chart-identify_range-weather_and_climate","[64, 98]","[64, 98]","p52"
"area_chart-locate_value-energy_and_environment","2015","2019","p52"
"area_chart-retrieve_value-economy","1106","961","p52"
"bar_chart-identify_range-weather_and_climate","[40, 118]","[52, 100]","p52"
"bar_chart-locate_value-economy","Manufacturing","Manufacturing","p52"
"bar_chart-make_comparisons-health","Asthma and Tuberculosis have the same number of reported cases.","Tuberculosis has more reported cases than Asthma.","p52"
"bar_chart-retrieve_value-weather_and_climate","115","100","p52"
"bubble_chart-describe_trend_or_correlation-population_and_demography","There is no clear trend or correlation between GDP Per Capita and Population.","There is no clear trend or correlation between GDP Per Capita and Population.","p52"
"bubble_chart-identify_range-food_and_agriculture","[35, 150]","[43, 129]","p52"
"bubble_chart-locate_value-education","School C","School C","p52"
"bubble_chart-make_comparisons-education","School A","School A","p52"
"bubble_chart-retrieve_value-food_and_agriculture","130","109","p52"
"bubble_chart_with_cluster-identify_clusters-innovation","Company E, Company F, Company G","Company A, Company B, Company C, Company D","p52"
"bubble_chart_with_outlier-identify_anomalies-weather_and_climate","Brockway","Springfield","p52"
"choropleth_map-locate_value-food_and_agriculture","New York","New York","p52"
"choropleth_map-make_comparisons-innovation","Texas","Texas","p52"
"choropleth_map-retrieve_value-education","500","294","p52"
"histogram-locate_value-economy","$30,000","$82,000","p52"
"histogram-make_comparisons-population_and_demography","Both groups have the same number of people","Early thirties","p52"
"histogram-retrieve_value-health","256","222","p52"
"line_chart-describe_trend_or_correlation-economy","No clear trend or correlation in GDP growth rates over the years.","No clear trend or correlation in GDP growth rates over the years.","p52"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-economy","8","8","p52"
"line_chart-identify_range-health","[52, 111]","[62, 96]","p52"
"line_chart-locate_value-economy","2003","2003","p52"
"line_chart-retrieve_value-education","180","142","p52"
"pie_chart-locate_value-population_and_demography","Adults","Adults","p52"
"pie_chart-make_comparisons-population_and_demography","Youth","Youth","p52"
"pie_chart-retrieve_value-health","40%","25%","p52"
"scatterplot-describe_trend_or_correlation-economy","As GDP increases, Unemployment Rate decreases.","As GDP increases, Unemployment Rate decreases.","p52"
"scatterplot-identify_range-innovation","[58, 290]","[106, 200]","p52"
"scatterplot-locate_value-economy","GDP: 1991, Unemployment Rate: 0","GDP: 1991, Unemployment Rate: 0","p52"
"scatterplot-make_comparisons-economy","The Unemployment Rates are the same at GDPs of 1500 and 1900 billion.","The Unemployment Rate is higher at a GDP of 1500 billion.","p52"
"scatterplot-retrieve_value-weather_and_climate","72%","72%","p52"
"scatterplot_with_cluster-identify_clusters-population_and_demography","Around 6000 Population and 25 Median Age","Around 3500 Population and 50 Median Age","p52"
"scatterplot_with_outlier-identify_anomalies-innovation","Innovation Index of 63 and Patent Count of 18","Innovation Index of 150 and Patent Count of 30","p52"
"stacked_area_chart-describe_trend_or_correlation-food_and_agriculture","All crops show a consistent upward trend in production.","Production of each crop fluctuates without a clear upward or downward trend.","p52"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-politics","1.8","1.8","p52"
"stacked_area_chart-locate_value-politics","2013","2007","p52"
"stacked_area_chart-make_comparisons-health","Cardiovascular","Cardiovascular","p52"
"stacked_area_chart-retrieve_value-education","500","431","p52"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-population_and_demography","0.3","1.3","p52"
"stacked_bar_chart-locate_value-energy_and_environment","Country H - Nuclear","Country H - Nuclear","p52"
"stacked_bar_chart-make_comparisons-economy","Technology","Technology","p52"
"stacked_bar_chart-retrieve_value-food_and_agriculture","689","689","p52"
"tree_map-identify_the_hierarchical_structure-health","Neurology","Neurology","p52"
"tree_map-locate_value-economy","Livestock","Livestock","p52"
"tree_map-retrieve_value-education","20%","20%","p52"
"100_percent_stacked_bar_chart-locate_value-weather_and_climate","Location_B","Location_A","p72"
"100_percent_stacked_bar_chart-make_comparisons-innovation","Company A","Company A","p72"
"100_percent_stacked_bar_chart-retrieve_value-economy","3%","3%","p72"
"area_chart-describe_trend_or_correlation-health","The number of patients recovered increases over time.","The number of patients recovered increases over time.","p72"
"area_chart-identify_range-economy","[961, 961]","[961, 961]","p72"
"area_chart-locate_value-politics","2009","2009","p72"
"area_chart-retrieve_value-politics","328","328","p72"
"bar_chart-identify_range-economy","[113, 473]","[113, 473]","p72"
"bar_chart-locate_value-economy","Manufacturing","Manufacturing","p72"
"bar_chart-make_comparisons-weather_and_climate","City3","City3","p72"
"bar_chart-retrieve_value-weather_and_climate","100","100","p72"
"bubble_chart-describe_trend_or_correlation-population_and_demography","There is no clear trend or correlation between GDP Per Capita and Population.","There is no clear trend or correlation between GDP Per Capita and Population.","p72"
"bubble_chart-identify_range-economy","[217, 625]","[217, 625]","p72"
"bubble_chart-locate_value-education","School C","School C","p72"
"bubble_chart-make_comparisons-education","School A","School A","p72"
"bubble_chart-retrieve_value-economy","12 million","7 million","p72"
"bubble_chart_with_cluster-identify_clusters-population_and_demography","City 1, City 2, City 3, and City 4","City 1, City 2, City 3, and City 4","p72"
"bubble_chart_with_outlier-identify_anomalies-economy","Country A","Country A","p72"
"choropleth_map-locate_value-education","New York","New York","p72"
"choropleth_map-make_comparisons-education","Colorado","Colorado","p72"
"choropleth_map-retrieve_value-economy","99708","99708","p72"
"histogram-locate_value-economy","$82,000","$82,000","p72"
"histogram-make_comparisons-innovation","It is not possible to determine which range contains more observations from the histogram.","5-10 contains more observations.","p72"
"histogram-retrieve_value-health","222","222","p72"
"line_chart-describe_trend_or_correlation-health","A consistent upward trend in heart rate","No clear trend or correlation in heart rate","p72"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-health","32 bpm","32 bpm","p72"
"line_chart-identify_range-economy","[1, 10]","[1, 10]","p72"
"line_chart-locate_value-economy","2003","2003","p72"
"line_chart-retrieve_value-education","142","142","p72"
"pie_chart-locate_value-energy_and_environment","Wind","Wind","p72"
"pie_chart-make_comparisons-weather_and_climate","Tropical","Tropical","p72"
"pie_chart-retrieve_value-economy","55%","40%","p72"
"scatterplot-describe_trend_or_correlation-politics","Voter Turnout and Opposition Support are perfectly negatively correlated.","As Voter Turnout increases, Opposition Support decreases.","p72"
"scatterplot-identify_range-weather_and_climate","[52°F, 115°F]","[62°F, 100°F]","p72"
"scatterplot-locate_value-population_and_demography","Population: 4003","Population: 4003","p72"
"scatterplot-make_comparisons-economy","The Unemployment Rate is higher at a GDP of 1500 billion.","The Unemployment Rate is higher at a GDP of 1500 billion.","p72"
"scatterplot-retrieve_value-health","117 cm","117 cm","p72"
"scatterplot_with_cluster-identify_clusters-economy","Around GDP of 300 and Unemployment Rate of 12","Around GDP of 300 and Unemployment Rate of 12","p72"
"scatterplot_with_outlier-identify_anomalies-food_and_agriculture","Crop Yield: 120 quintals/ha, Fertilizer Use: 250 kg/ha","Crop Yield: 120 quintals/ha, Fertilizer Use: 250 kg/ha","p72"
"stacked_area_chart-describe_trend_or_correlation-politics","No clear trend or correlation in votes is observed across the parties over the years.","No clear trend or correlation in votes is observed across the parties over the years.","p72"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","2.4","0.7","p72"
"stacked_area_chart-locate_value-food_and_agriculture","2012","2012","p72"
"stacked_area_chart-make_comparisons-education","Elementary","Elementary","p72"
"stacked_area_chart-retrieve_value-energy_and_environment","312 GWh","312 GWh","p72"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","1.2","1.2","p72"
"stacked_bar_chart-locate_value-economy","2020, Construction, $472 million","2018, Technology, $492 million","p72"
"stacked_bar_chart-make_comparisons-education","School C","School B","p72"
"stacked_bar_chart-retrieve_value-innovation","92","92","p72"
"tree_map-identify_the_hierarchical_structure-politics","Foreign Policy","Foreign Policy","p72"
"tree_map-locate_value-economy","Livestock","Livestock","p72"
"tree_map-retrieve_value-innovation","20%","20%","p72"
"100_percent_stacked_bar_chart-locate_value-energy_and_environment","2021, Fossil Fuels","2020, Solar","p45"
"100_percent_stacked_bar_chart-make_comparisons-economy","Manufacturing","Manufacturing","p45"
"100_percent_stacked_bar_chart-retrieve_value-weather_and_climate","44%","29%","p45"
"area_chart-describe_trend_or_correlation-economy","The GDP remains constant over the years.","The GDP remains constant over the years.","p45"
"area_chart-identify_range-innovation","[58, 150]","[58, 150]","p45"
"area_chart-locate_value-weather_and_climate","Day 14","Day 11","p45"
"area_chart-retrieve_value-economy","961","961","p45"
"bar_chart-identify_range-politics","[1941, 9918]","[1941, 9918]","p45"
"bar_chart-locate_value-weather_and_climate","City3 and City15","City3 and City15","p45"
"bar_chart-make_comparisons-innovation","IoT","IoT","p45"
"bar_chart-retrieve_value-politics","8817","8817","p45"
"bubble_chart-describe_trend_or_correlation-economy","There is no clear trend or correlation between GDP and Unemployment Rate.","There is no clear trend or correlation between GDP and Unemployment Rate.","p45"
"bubble_chart-identify_range-economy","[200, 720]","[217, 625]","p45"
"bubble_chart-locate_value-population_and_demography","Gotham","Gotham","p45"
"bubble_chart-make_comparisons-food_and_agriculture","Barley","Barley","p45"
"bubble_chart-retrieve_value-energy_and_environment","135740","118034","p45"
"bubble_chart_with_cluster-identify_clusters-population_and_demography","City 1, City 2, City 3, and City 4","City 1, City 2, City 3, and City 4","p45"
"bubble_chart_with_outlier-identify_anomalies-food_and_agriculture","Barley","Barley","p45"
"choropleth_map-locate_value-politics","New York","New York","p45"
"choropleth_map-make_comparisons-energy_and_environment","California","California","p45"
"choropleth_map-retrieve_value-weather_and_climate","100","100","p45"
"histogram-locate_value-population_and_demography","43","43","p45"
"histogram-make_comparisons-innovation","5-10 contains more observations.","5-10 contains more observations.","p45"
"histogram-retrieve_value-health","256","222","p45"
"line_chart-describe_trend_or_correlation-weather_and_climate","Temperatures fluctuate without a clear trend.","Temperatures fluctuate without a clear trend.","p45"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-politics","36","36","p45"
"line_chart-identify_range-health","[62, 96]","[62, 96]","p45"
"line_chart-locate_value-education","Year 2009","Year 2009","p45"
"line_chart-retrieve_value-weather_and_climate","73","73","p45"
"pie_chart-locate_value-food_and_agriculture","Dairy","Dairy","p45"
"pie_chart-make_comparisons-education","Middle School","Middle School","p45"
"pie_chart-retrieve_value-population_and_demography","15%","15%","p45"
"scatterplot-describe_trend_or_correlation-economy","As GDP increases, Unemployment Rate decreases.","As GDP increases, Unemployment Rate decreases.","p45"
"scatterplot-identify_range-economy","[537, 1991]","[537, 1991]","p45"
"scatterplot-locate_value-population_and_demography","Population: 4003","Population: 4003","p45"
"scatterplot-make_comparisons-food_and_agriculture","4600-4700 kg/ha range","2100-2200 kg/ha range","p45"
"scatterplot-retrieve_value-economy","0","0","p45"
"scatterplot_with_cluster-identify_clusters-politics","Around the (50%, 50%) mark","Around the (50%, 50%) mark","p45"
"scatterplot_with_outlier-identify_anomalies-politics","Political Support at 51 and Opposition at 150","Political Support at 51 and Opposition at 150","p45"
"stacked_area_chart-describe_trend_or_correlation-food_and_agriculture","Production of each crop fluctuates without a clear upward or downward trend.","Production of each crop fluctuates without a clear upward or downward trend.","p45"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-food_and_agriculture","2.4","2.4","p45"
"stacked_area_chart-locate_value-energy_and_environment","2019","2005","p45"
"stacked_area_chart-make_comparisons-economy","Agriculture","Agriculture","p45"
"stacked_area_chart-retrieve_value-economy","600","452","p45"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-population_and_demography","1.3","1.3","p45"
"stacked_bar_chart-locate_value-energy_and_environment","Country F - Hydro","Country H - Nuclear","p45"
"stacked_bar_chart-make_comparisons-weather_and_climate","The values are equal","CityA","p45"
"stacked_bar_chart-retrieve_value-population_and_demography","30000","22300","p45"
"tree_map-identify_the_hierarchical_structure-health","Neurology","Neurology","p45"
"tree_map-locate_value-education","Biology","Biology","p45"
"tree_map-retrieve_value-politics","20%","20%","p45"
"100_percent_stacked_bar_chart-locate_value-energy_and_environment","2020, Solar","2020, Solar","p55"
"100_percent_stacked_bar_chart-make_comparisons-economy","Manufacturing","Manufacturing","p55"
"100_percent_stacked_bar_chart-retrieve_value-population_and_demography","22%","27%","p55"
"area_chart-describe_trend_or_correlation-population_and_demography","The population has decreased steadily over the years.","The population has decreased steadily over the years.","p55"
"area_chart-identify_range-weather_and_climate","[64, 98]","[64, 98]","p55"
"area_chart-locate_value-innovation","2009","2009","p55"
"area_chart-retrieve_value-education","6953","6953","p55"
"bar_chart-identify_range-innovation","[96, 544]","[113, 473]","p55"
"bar_chart-locate_value-economy","Manufacturing","Manufacturing","p55"
"bar_chart-make_comparisons-economy","Retail","Retail","p55"
"bar_chart-retrieve_value-weather_and_climate","100","100","p55"
"bubble_chart-describe_trend_or_correlation-education","There is no clear trend or correlation between the average test score and the number of students.","There is no clear trend or correlation between the average test score and the number of students.","p55"
"bubble_chart-identify_range-economy","[217, 625]","[217, 625]","p55"
"bubble_chart-locate_value-economy","Deltora","Deltora","p55"
"bubble_chart-make_comparisons-health","The patient aged 33 years","The patient aged 33 years","p55"
"bubble_chart-retrieve_value-health","200","134","p55"
"bubble_chart_with_cluster-identify_clusters-innovation","Company A, Company B, Company C, Company D","Company A, Company B, Company C, Company D","p55"
"bubble_chart_with_outlier-identify_anomalies-population_and_demography","Outlands","Outlands","p55"
"choropleth_map-make_comparisons-weather_and_climate","Florida","Florida","p55"
"choropleth_map-retrieve_value-economy","99708","99708","p55"
"histogram-locate_value-education","120","107","p55"
"histogram-make_comparisons-food_and_agriculture","0-9","0-9","p55"
"histogram-retrieve_value-health","222","222","p55"
"line_chart-describe_trend_or_correlation-economy","A cyclical pattern with regular intervals of peaks and troughs.","No clear trend or correlation in GDP growth rates over the years.","p55"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-health","32 bpm","32 bpm","p55"
"line_chart-identify_range-innovation","[138, 961]","[138, 961]","p55"
"line_chart-locate_value-economy","2015","2003","p55"
"line_chart-retrieve_value-weather_and_climate","73","73","p55"
"pie_chart-locate_value-weather_and_climate","Temperate","Temperate","p55"
"pie_chart-make_comparisons-population_and_demography","Youth","Youth","p55"
"pie_chart-retrieve_value-politics","15%","15%","p55"
"scatterplot-describe_trend_or_correlation-economy","As GDP increases, Unemployment Rate decreases.","As GDP increases, Unemployment Rate decreases.","p55"
"scatterplot-identify_range-education","[1, 20]","[1, 20]","p55"
"scatterplot-locate_value-food_and_agriculture","5 kg/ha","783 kg/ha","p55"
"scatterplot-make_comparisons-weather_and_climate","90-100°F","90-100°F","p55"
